route_id,route_name,operator_name,operator_type,prefecture
1,京王バス南（株）,新宿・渋谷〜大阪（阪急梅田）線,1.0,神奈川県
1,京王バス南（株）,新宿・渋谷〜浜松線,1.0,神奈川県
1,京阪バス（株）,京都・大津⇔上野・TDR・千葉,1.0,神奈川県
1,京阪バス（株）,枚方・京都⇔渋谷・新宿,1.0,神奈川県
1,京成バス（株）,ファンタジアなごや号,0.5,神奈川県
1,京成バス（株）,神戸・大阪〜東京ディズニーリゾート・海浜幕張・千葉中央駅,0.5,神奈川県
1,京成バス（株）,成田空港〜たまプラーザ駅・新百合ヶ丘駅,8.0,神奈川県
1,京成バス（株）,成田空港〜横浜シティ・エア・ターミナル・みなとみらい地区,9.5,神奈川県
1,京成バス（株）,成田空港〜新富士駅・沼津駅,2.0,神奈川県
1,京成バス（株）,成田空港〜相模大野駅・町田駅・橋本駅,8.0,神奈川県
1,京成バス（株）,成田空港〜中山駅・センター南駅,4.0,神奈川県
1,京成バス（株）,成田空港〜藤沢駅・辻堂駅・茅ヶ崎駅,3.0,神奈川県
1,京成バス（株）,成田空港〜本厚木駅・平塚（田村車庫）,3.5,神奈川県
1,京成バス（株）,潮見・東京駅〜木更津駅・君津製鉄所,15.0,神奈川県
1,京成バス（株）,津田沼・西船橋・新浦安〜富士急ハイランド・河口湖線,0.4,神奈川県
1,京成バス（株）,東京ディズニーリゾート〜たまプラーザ駅,5.0,神奈川県
1,京成バス（株）,東京ディズニーリゾート〜横浜駅東口,13.0,神奈川県
1,京成バス（株）,東京ディズニーリゾート〜蒲田駅・川崎駅,2.5,神奈川県
1,京成バス（株）,奈良〜上野・東京ディズニーリゾート,0.5,神奈川県
1,京成バス（株）,浜松町・東京駅〜かずさアーク・安房鴨川駅,10.0,神奈川県
1,京成バス（株）,浜松町・東京駅〜君津駅・青堀駅,22.0,神奈川県
1,京成バス（株）,浜松町・東京駅〜勝浦・御宿・安房小湊,2.0,神奈川県
1,京都交通（株）,舞鶴・綾部・福知山〜東京,1.0,神奈川県
1,京浜急行バス（株）,001,12.0,神奈川県
1,京浜急行バス（株）,エディ号,2.0,神奈川県
1,京浜急行バス（株）,キャメル号,1.0,神奈川県
1,京浜急行バス（株）,シルフィード号,1.0,神奈川県
1,京浜急行バス（株）,センター北駅・センター南駅〜羽田空港線,8.5,神奈川県
1,京浜急行バス（株）,たまプラーザ駅〜羽田空港線,17.5,神奈川県
1,京浜急行バス（株）,ノクターン号,3.4,神奈川県
1,京浜急行バス（株）,パイレーツ号,1.0,神奈川県
1,京浜急行バス（株）,ルプラン号,1.0,神奈川県
1,京浜急行バス（株）,衣13,3.0,神奈川県
1,京浜急行バス（株）,衣14,1.0,神奈川県
1,京浜急行バス（株）,衣19,16.0,神奈川県
1,京浜急行バス（株）,衣2,17.0,神奈川県
1,京浜急行バス（株）,衣25,27.0,神奈川県
1,京浜急行バス（株）,衣3,5.5,神奈川県
1,京浜急行バス（株）,衣4,6.5,神奈川県
1,京浜急行バス（株）,衣5,11.0,神奈川県
1,京浜急行バス（株）,衣6,5.0,神奈川県
1,京浜急行バス（株）,羽田空港〜町田バスセンター・相模大野駅線,13.0,神奈川県
1,京浜急行バス（株）,横浜（YCAT）〜横須賀西地区線,9.0,神奈川県
1,京浜急行バス（株）,横浜駅（YCAT）〜成田空港線,24.0,神奈川県
1,京浜急行バス（株）,横浜駅（YCAT）〜東京ビッグサイト　（お台場）線,12.0,神奈川県
1,京浜急行バス（株）,横浜駅（YCAT）〜東扇島線,11.5,神奈川県
1,京浜急行バス（株）,横浜駅（東口バスターミナル）〜東京ディズニーリゾート線,13.0,神奈川県
1,京浜急行バス（株）,横浜駅〜羽田空港線,129.0,神奈川県
1,京浜急行バス（株）,横浜駅〜五井駅線,6.0,神奈川県
1,京浜急行バス（株）,横浜駅〜袖ヶ浦バスターミナル・木更津駅線,20.0,神奈川県
1,京浜急行バス（株）,横浜駅西口（横浜ベイシェラトンホテル＆タワーズ）〜羽田空港線,6.0,神奈川県
1,京浜急行バス（株）,海3,11.0,神奈川県
1,京浜急行バス（株）,海30,17.5,神奈川県
1,京浜急行バス（株）,海31,23.0,神奈川県
1,京浜急行バス（株）,海34,22.0,神奈川県
1,京浜急行バス（株）,海35,14.5,神奈川県
1,京浜急行バス（株）,鴨01,6.0,神奈川県
1,京浜急行バス（株）,栢93,1.5,神奈川県
1,京浜急行バス（株）,栢98,2.0,神奈川県
1,京浜急行バス（株）,久1,66.0,神奈川県
1,京浜急行バス（株）,久10,76.0,神奈川県
1,京浜急行バス（株）,久11,4.0,神奈川県
1,京浜急行バス（株）,久13,5.0,神奈川県
1,京浜急行バス（株）,久14,999.9,神奈川県
1,京浜急行バス（株）,久15,7.0,神奈川県
1,京浜急行バス（株）,久16,3.5,神奈川県
1,京浜急行バス（株）,久17,1.5,神奈川県
1,京浜急行バス（株）,久19,17.0,神奈川県
1,京浜急行バス（株）,久2,6.0,神奈川県
1,京浜急行バス（株）,久20,82.5,神奈川県
1,京浜急行バス（株）,久3,25.0,神奈川県
1,京浜急行バス（株）,久4,39.0,神奈川県
1,京浜急行バス（株）,久5,2.0,神奈川県
1,京浜急行バス（株）,久7,28.5,神奈川県
1,京浜急行バス（株）,久8,28.0,神奈川県
1,京浜急行バス（株）,久9,5.0,神奈川県
1,京浜急行バス（株）,急行,15.0,神奈川県
1,京浜急行バス（株）,君津〜羽田空港線,11.5,神奈川県
1,京浜急行バス（株）,五井駅・東金駅〜羽田空港線,11.0,神奈川県
1,京浜急行バス（株）,御殿場・箱根桃源台〜羽田空港線,4.0,神奈川県
1,京浜急行バス（株）,港南台駅・戸塚駅〜羽田空港線,9.0,神奈川県
1,京浜急行バス（株）,甲府駅・竜王〜羽田空港線,2.0,神奈川県
1,京浜急行バス（株）,国01,4.5,神奈川県
1,京浜急行バス（株）,国01-2,4.0,神奈川県
1,京浜急行バス（株）,国02,8.0,神奈川県
1,京浜急行バス（株）,国04,9.5,神奈川県
1,京浜急行バス（株）,三10,2.5,神奈川県
1,京浜急行バス（株）,三11,3.5,神奈川県
1,京浜急行バス（株）,三12,12.5,神奈川県
1,京浜急行バス（株）,三13,2.0,神奈川県
1,京浜急行バス（株）,三14,1.0,神奈川県
1,京浜急行バス（株）,三21,1.5,神奈川県
1,京浜急行バス（株）,三22,2.5,神奈川県
1,京浜急行バス（株）,三24,16.0,神奈川県
1,京浜急行バス（株）,三26,11.5,神奈川県
1,京浜急行バス（株）,三4,45.0,神奈川県
1,京浜急行バス（株）,三5,18.5,神奈川県
1,京浜急行バス（株）,三51,1.0,神奈川県
1,京浜急行バス（株）,三52,2.0,神奈川県
1,京浜急行バス（株）,三53,1.0,神奈川県
1,京浜急行バス（株）,三54,3.0,神奈川県
1,京浜急行バス（株）,三55,1.0,神奈川県
1,京浜急行バス（株）,三56,3.0,神奈川県
1,京浜急行バス（株）,三61,5.0,神奈川県
1,京浜急行バス（株）,三7,2.0,神奈川県
1,京浜急行バス（株）,三8,20.0,神奈川県
1,京浜急行バス（株）,三9,32.0,神奈川県
1,京浜急行バス（株）,山下公園・みなとみらい地区・赤レンガ倉庫〜羽田空港線,12.5,神奈川県
1,京浜急行バス（株）,汐10,65.5,神奈川県
1,京浜急行バス（株）,汐16,14.0,神奈川県
1,京浜急行バス（株）,小11,12.5,神奈川県
1,京浜急行バス（株）,小12,2.0,神奈川県
1,京浜急行バス（株）,小13,999.9,神奈川県
1,京浜急行バス（株）,小14,5.0,神奈川県
1,京浜急行バス（株）,小15,10.0,神奈川県
1,京浜急行バス（株）,小19,1.5,神奈川県
1,京浜急行バス（株）,松102,6.0,神奈川県
1,京浜急行バス（株）,松51,16.0,神奈川県
1,京浜急行バス（株）,松62,7.2,神奈川県
1,京浜急行バス（株）,松64,1.0,神奈川県
1,京浜急行バス（株）,松66,14.5,神奈川県
1,京浜急行バス（株）,松72-1,1.5,神奈川県
1,京浜急行バス（株）,松72-2,2.0,神奈川県
1,京浜急行バス（株）,松74-1,4.0,神奈川県
1,京浜急行バス（株）,松74-2,3.0,神奈川県
1,京浜急行バス（株）,松75,0.0,神奈川県
1,京浜急行バス（株）,松76,1.2,神奈川県
1,京浜急行バス（株）,松78,1.5,神奈川県
1,京浜急行バス（株）,松79,1.0,神奈川県
1,京浜急行バス（株）,湘85,3.0,神奈川県
1,京浜急行バス（株）,上総牛久駅・茂原駅〜羽田空港線,3.0,神奈川県
1,京浜急行バス（株）,上大岡駅方面　金沢文庫駅ゆき,1.0,神奈川県
1,京浜急行バス（株）,新横浜プリンスホテル・新横浜〜羽田空港線,22.0,神奈川県
1,京浜急行バス（株）,新横浜駅（ホテルアソシア新横浜）・新横浜プリンスホテル〜成田空港線,10.0,神奈川県
1,京浜急行バス（株）,新百合ヶ丘駅〜羽田空港線,8.5,神奈川県
1,京浜急行バス（株）,新富士駅・富士宮駅〜羽田空港線,2.0,神奈川県
1,京浜急行バス（株）,須1,188.5,神奈川県
1,京浜急行バス（株）,須10,92.5,神奈川県
1,京浜急行バス（株）,須11,4.5,神奈川県
1,京浜急行バス（株）,須12,4.0,神奈川県
1,京浜急行バス（株）,須13,11.0,神奈川県
1,京浜急行バス（株）,須17,2.0,神奈川県
1,京浜急行バス（株）,須18,31.5,神奈川県
1,京浜急行バス（株）,須20,28.0,神奈川県
1,京浜急行バス（株）,須21,21.0,神奈川県
1,京浜急行バス（株）,須3,13.5,神奈川県
1,京浜急行バス（株）,須4,15.5,神奈川県
1,京浜急行バス（株）,須5,30.0,神奈川県
1,京浜急行バス（株）,須6,33.5,神奈川県
1,京浜急行バス（株）,須7,7.0,神奈川県
1,京浜急行バス（株）,須8,18.5,神奈川県
1,京浜急行バス（株）,逗1,18.0,神奈川県
1,京浜急行バス（株）,逗10,3.0,神奈川県
1,京浜急行バス（株）,逗11,10.0,神奈川県
1,京浜急行バス（株）,逗12,76.5,神奈川県
1,京浜急行バス（株）,逗13,2.0,神奈川県
1,京浜急行バス（株）,逗15,36.0,神奈川県
1,京浜急行バス（株）,逗16,23.5,神奈川県
1,京浜急行バス（株）,逗17,58.0,神奈川県
1,京浜急行バス（株）,逗18,38.0,神奈川県
1,京浜急行バス（株）,逗19,38.0,神奈川県
1,京浜急行バス（株）,逗2,16.0,神奈川県
1,京浜急行バス（株）,逗20,39.0,神奈川県
1,京浜急行バス（株）,逗22,62.0,神奈川県
1,京浜急行バス（株）,逗26,4.0,神奈川県
1,京浜急行バス（株）,逗29,33.0,神奈川県
1,京浜急行バス（株）,逗30,30.0,神奈川県
1,京浜急行バス（株）,逗31,3.0,神奈川県
1,京浜急行バス（株）,逗32,3.0,神奈川県
1,京浜急行バス（株）,逗4,9.0,神奈川県
1,京浜急行バス（株）,逗5,36.5,神奈川県
1,京浜急行バス（株）,逗6,42.0,神奈川県
1,京浜急行バス（株）,逗7,3.5,神奈川県
1,京浜急行バス（株）,逗71,13.5,神奈川県
1,京浜急行バス（株）,逗72,4.0,神奈川県
1,京浜急行バス（株）,逗8,5.0,神奈川県
1,京浜急行バス（株）,川崎駅・蒲田駅〜東京ディズニーリゾート（TDR）線,2.5,神奈川県
1,京浜急行バス（株）,川崎駅・浮島BT〜海ほたる〜袖ヶ浦BT・木更津駅線,7.0,神奈川県
1,京浜急行バス（株）,蘇我駅〜羽田空港線,5.0,神奈川県
1,京浜急行バス（株）,袖ヶ浦バスターミナル・木更津駅〜羽田空港線,10.0,神奈川県
1,京浜急行バス（株）,大船駅・鎌倉駅方面　逗子駅ゆき,1.0,神奈川県
1,京浜急行バス（株）,大船駅・藤沢駅〜羽田空港線,11.5,神奈川県
1,京浜急行バス（株）,谷57,1.0,神奈川県
1,京浜急行バス（株）,直行,2.5,神奈川県
1,京浜急行バス（株）,東16,4.0,神奈川県
1,京浜急行バス（株）,東17,5.0,神奈川県
1,京浜急行バス（株）,東18,1.0,神奈川県
1,京浜急行バス（株）,東19,2.0,神奈川県
1,京浜急行バス（株）,東62,2.0,神奈川県
1,京浜急行バス（株）,東63,4.5,神奈川県
1,京浜急行バス（株）,二俣川駅〜羽田空港線,11.0,神奈川県
1,京浜急行バス（株）,品川〜袖ヶ浦バスターミナル・木更津駅線,25.5,神奈川県
1,京浜急行バス（株）,北久11,40.5,神奈川県
1,京浜急行バス（株）,北久12,37.5,神奈川県
1,京浜急行バス（株）,北久13,47.0,神奈川県
1,京浜急行バス（株）,北久14,999.9,神奈川県
1,京浜急行バス（株）,北久15,999.9,神奈川県
1,京浜急行バス（株）,北久16,15.5,神奈川県
1,京浜急行バス（株）,北久17,18.0,神奈川県
1,京浜急行バス（株）,本厚木駅・田村車庫〜羽田空港線,6.5,神奈川県
1,京浜急行バス（株）,野1,28.0,神奈川県
1,京浜急行バス（株）,野2,32.0,神奈川県
1,京浜急行バス（株）,野3,23.5,神奈川県
1,京浜急行バス（株）,野4,45.5,神奈川県
1,京浜急行バス（株）,野5,92.0,神奈川県
1,京浜急行バス（株）,野6,10.0,神奈川県
1,京浜急行バス（株）,野7,0.0,神奈川県
1,京浜急行バス（株）,野8,21.0,神奈川県
1,京浜急行バス（株）,野9,21.5,神奈川県
1,京福バス（株）,東京線,3.0,神奈川県
1,琴平バス（株）,愛媛・高知シャトル,2.0,神奈川県
1,近鉄バス（株）,大阪⇔東京駅,1.0,神奈川県
1,近鉄バス（株）,大阪・茨木⇔新宿,1.0,神奈川県
1,近鉄バス（株）,大阪・茨木⇔新宿・八王子,1.0,神奈川県
1,近鉄バス（株）,大阪・京都⇔つくば・水戸,1.0,神奈川県
1,近鉄バス（株）,大阪・京都⇔久喜・栃木・宇都宮,1.0,神奈川県
1,近鉄バス（株）,大阪・京都⇔郡山・福島,1.0,神奈川県
1,近鉄バス（株）,大阪・京都⇔沼津・御殿場・新松田・小田原,1.0,神奈川県
1,近鉄バス（株）,大阪・京都⇔仙台,1.0,神奈川県
1,近鉄バス（株）,大阪・京都⇔川越・坂戸・熊谷,1.0,神奈川県
1,近鉄バス（株）,大阪・京都⇔日立・いわき,1.0,神奈川県
1,近鉄バス（株）,大日・茨木・京都⇔東京駅,1.0,神奈川県
1,近鉄バス（株）,藤井寺・大阪・京都⇔東京駅・横浜,1.0,神奈川県
1,弘南バス（株）,ノクターン号,1.0,神奈川県
1,江ノ電バス横浜・江ノ電バス藤沢,001,1.0,神奈川県
1,江ノ電バス横浜・江ノ電バス藤沢,10-1,3.0,神奈川県
