bus_stop_name,municipality,operator_1,operator_2,operator_3,route_type_1,route_type_2,route_type_3,note,longitude,latitude,prefecture
東生田小学校,小田急バス（株）,"向13,向ヶ丘遊園駅〜生田折返場",,,"1,1",,,,139.5509485204782,35.616724403959225,神奈川県
東生田小学校前,神奈川中央交通（株）,淵24,,,1,,,,139.5509485204782,35.616724403959225,神奈川県
宿河原小学校前,川崎市,登05,,,2,,,,139.57418256531918,35.61664888782267,神奈川県
千代ヶ丘小学校入口,小田急バス（株）,"新03,新09,新07",,,"1,1,1",,,,139.5041380168906,35.61663473437782,神奈川県
藤野総合事務所前,神奈川中央交通西（株）,野08,,,1,,,,139.1543079419697,35.616430742565036,神奈川県
五反田,小田急バス（株）,"向13,向ヶ丘遊園駅〜生田折返場",,,"1,1",,,,139.547335096277,35.616399852281816,神奈川県
五反田,神奈川中央交通（株）,淵24,,,1,,,,139.547335096277,35.616399852281816,神奈川県
北相中学校前,神奈川中央交通（株）・神奈川中央交通西（株）,湖28,,,1,,,,139.19306864487805,35.61616207803546,神奈川県
北相中学校前,神奈川中央交通（株）,"湖29,八07",,,"1,1",,,,139.19306864487805,35.61616207803546,神奈川県
宿河原駅入口,川崎市,登06,,,2,,,,139.5774213984442,35.616056469918874,神奈川県
生田根岸,神奈川中央交通（株）,淵24,,,1,,,,139.55424288942115,35.616002459202846,神奈川県
生田根岸,小田急バス（株）,"向13,向ヶ丘遊園駅〜生田折返場",,,"1,1",,,,139.55424288942115,35.616002459202846,神奈川県
神明台,神奈川中央交通（株）,"湖29,八07",,,"1,1",,,,139.21575958570853,35.61581026459705,神奈川県
向原二丁目,小田急バス（株）,新04,,,1,,,,139.49798583617343,35.61581508557962,神奈川県
千代ヶ丘七丁目,小田急バス（株）,"新02,新09",,,"1,1",,,,139.50857651233042,35.6157698885668,神奈川県
宿村,神奈川中央交通（株）・神奈川中央交通西（株）,湖28,,,1,,,,139.21136288721343,35.6156527074098,神奈川県
藤野駅,富士急バス（株）,【上野原】名倉線,,,1,,,,139.1524470779573,35.6156232860984,神奈川県
藤野駅,神奈川中央交通西（株）,"湖23,野05,野12,野08,野11",,,"1,1,1,1,1",,,,139.1524470779573,35.6156232860984,神奈川県
桂北小学校前,神奈川中央交通（株）・神奈川中央交通西（株）,湖28,,,1,,,,139.19170344196795,35.615624585155444,神奈川県
桂北小学校前,神奈川中央交通（株）,"湖29,八07",,,"1,1",,,,139.19170344196795,35.615624585155444,神奈川県
向ヶ丘遊園駅入口,東急バス（株）,"向02,向01,た83",,,"1,1,1",,,,139.56569525912107,35.61551018309297,神奈川県
生田駅前,神奈川中央交通（株）,淵24,,,1,,,,139.54153927263008,35.615409993362206,神奈川県
生田駅前,小田急バス（株）,向ヶ丘遊園駅〜生田折返場,,,1,,,,139.54153927263008,35.615409993362206,神奈川県
宮ノ台,神奈川中央交通（株）,"湖29,八07",,,"1,1",,,,139.22037099473323,35.61537209732559,神奈川県
向丘遊園駅入口,川崎市,"た83,溝06,溝19,登14",,,"2,2,2,2",,,,139.5658166610512,35.615183568960894,神奈川県
